glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0.140625,0.373828125,48.578125,175.1171875,85.1171875,907.3046875,23,170.18,177.8,125,26,1
1,0.5,0.315,34.5,108,35,527.5,5,177.8,193.04,185,26,1
1,0.000976563,0.426162109,39.03613281,127.0410156,79.25292969,567.875,31,175.26,172.72,125,31,1
1,0,0.4975,32.75,87.875,49.25,770,11,172.72,170.18,125,36,1
1,0.125,0.555761719,41.71484375,112.4824219,71.078125,895.9140625,35,165.1,167.64,125,32,1
1,1.35546875,0.70390625,30.2109375,48.01171875,34.19921875,373.34375,19,165.1,172.72,125,32,1
1,0.223796844,0.472344189,41.48727512,112.6594934,64.5774622,804.7851725,54,185.42,193.04,205,38,0
1,0.504882813,0.545737305,56.14526367,118.5041504,73.9675293,676.0151367,30,177.8,180.34,170,29,0
1,0.588378906,0.39203125,37.16601563,96.91943359,38.03417969,645.512207,24,182.88,185.42,170,38,1
1,1.75,0.455,63.5,132.5,63.5,426.25,6,185.42,187.96,170,33,0
1,,,,,,,0,175.26,180.34,170,25,0
1,0,0.58,34,127,92,900,3,190.5,193.04,185,27,1
1,0.03125,0.38328125,41.46875,166.046875,91.390625,900,21,170.18,175.26,115,33,1
1,0,0.56,31,67,43,746,3,157.48,160.02,115,21,0
1,0,0.526161499,23.4944458,61.30328369,33.47650146,541.8193359,39,162.56,160.02,115,35,0
1,0.5,0.5925,28,77.75,54.75,651.25,6,187.96,190.5,185,24,0
1,0,0.495,44.5,115,62.5,900,6,170.18,182.88,135,29,0
1,0.26953125,0.307675781,31.5078125,93.34960938,34.41210938,364.578125,23,180.34,182.88,170,30,1
1,0.53125,0.5340625,42.28125,86.75,45.125,535.21875,10,177.8,185.42,170,35,0
1,0.02355957,0.448096924,81.18774414,193.3800049,93.1529541,1173.040161,38,180.34,177.8,155,36,0
1,0,0.41,29.5,98.5,41,655.5,5,198.12,205.74,260,28,1
1,0.520801544,0.390749168,49.08913803,138.7070007,53.47047424,1044.601334,37,187.96,193.04,205,36,0
1,2.41E-05,0.463989083,52.1442176,107.253819,54.01829558,681.692399,69,190.5,195.58,240,41,1
