fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Jared Gordon,red,2/20/2021,Red,0,0.55265625,0.3290625,0,39.875,194.828125,157.53125,2.03125,411.875,658,16,0,2,0,2,4,3,0,0,0,3,1,0,0,Orthodox,175.26,172.72,145,32
Ketlen Vieira,red,2/20/2021,Blue,0,0.3975,0.414375,0.25,47.8125,152.4375,70.5625,1.46875,179.625,726.25,15,0,4,0,4,5,1,0,0,2,2,0,1,0,Orthodox,172.72,172.72,135,29
Aiemann Zahabi,red,2/20/2021,Red,0.25,0.375,0.1,0,36.5,96.25,37.5,0.5,47,854.5,9,0,1,0,1,1,2,0,0,0,1,0,0,0,Orthodox,172.72,172.72,135,33
Serghei Spivac,red,2/20/2021,Red,0,0.42625,0.30375,0.125,46,159.625,97.625,2.25,178.625,743,9,0,0,1,1,2,2,0,1,0,0,0,1,0,Orthodox,190.5,198.12,260,26
Nate Landwehr,red,2/20/2021,Blue,0,0.47,0,0,61,124,63.5,0,31,531.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,175.26,182.88,145,32
Shana Dobson,red,2/20/2021,Blue,0.0625,0.52625,0.515625,0,23.75,73.625,41.375,1.0625,78.375,407.3125,11,0,1,0,1,2,3,0,0,0,0,2,0,0,Orthodox,167.64,175.26,125,31
Maycee Barber,red,2/13/2021,Blue,0,0.53,0.025,0.5,31.875,68.75,39.625,0.125,100.375,608.75,8,0,3,0,3,3,1,0,0,0,0,3,0,0,Switch,165.1,165.1,125,22
Belal Muhammad,red,2/13/2021,Red,0,0.451464844,0.252929688,0.28125,67.39941406,175.9892578,88.06640625,1.903320313,162.3574219,852.1064453,31,0,0,1,4,8,3,0,0,1,5,1,1,0,Orthodox,180.34,182.88,170,32
Maki Pitolo,red,2/13/2021,Blue,0,0.40875,0.375,0.125,49.625,128.125,56.5,0.625,38,664,9,0,0,1,1,1,3,0,0,0,0,1,0,0,Orthodox,177.8,190.5,185,30
Kamaru Usman,red,2/13/2021,Red,0.54296875,0.584350586,0.247143555,0.002441406,120.0297852,341.6816406,237.2807617,3.645507813,731.5102539,1462.776855,43,4,12,0,12,12,0,0,0,0,9,2,1,0,Switch,182.88,193.04,170,33
Ricky Simon,red,2/13/2021,Red,0.0625,0.4834375,0.58859375,0.515625,35.484375,105.171875,59.96875,6.265625,330.046875,666.625,18,0,3,0,3,5,2,0,0,1,2,1,1,0,Orthodox,167.64,175.26,135,28
Kelvin Gastelum,red,2/13/2021,Red,0.130874634,0.228874969,0.577230225,0.000137329,26.31663513,66.84651184,29.83604431,0.877655029,71.11103821,533.9975281,44,2,5,0,5,10,7,0,0,3,2,3,2,0,Southpaw,175.26,180.34,185,29
