glove_red=1,avg_KD,avg_SIG_STR_landed,total_time_fought(seconds),total_rounds_fought,Weight_lbs,age,categoria_tamano,golpes_pct
1,0,28.375,740,10,145,26,1,1.012331658
1,0,24,784,6,205,32,0.986842105,1.273148148
1,0,2,155,1,170,36,0.98630137,1.01010101
1,0,22,650.5,5,135,26,1.015151515,1.351351351
1,0.09375,61.953125,1201.9375,24,250,32,0.9875,1.356242399
1,0.4375,23.1875,356.75,11,205,28,1,1.125348213
1,0.00787735,34.36572742,615.2605245,45,265,32,0.988095238,1.376696344
1,0.550964355,66.43481445,1191.017151,42,185,29,0.98630137,1.169477049
1,0.125,65.609375,875.7109375,27,125,37,0.970149254,1.191555865
1,0.001464844,55.50976563,922.2744141,36,155,32,1,1.159332183
1,0.0625,86.625,742.875,13,140,27,0.956521739,1.131098891
1,0,23.25,408,6,155,26,0.974025974,1.199389131
1,0,10.5,454.5,4,125,25,1.032258065,1.09739369
1,0.5,43,391.5,4,205,26,0.974358974,0.965005302
1,0.510284424,39.46958923,870.1791763,42,170,32,0.934210526,1.098228075
1,0.001953125,59.07226563,840.75,30,125,31,1.014705882,1.355873357
1,0.171875,38.0546875,529.875,15,145,29,0.957142857,1.03407047
1,0.125,10.125,291.5,6,205,24,1,1.547509199
1,0,79,739.5,5,185,29,0.95890411,1.019069413
1,0,18.078125,602.734375,12,125,25,1.031746032,1.25956262
1,0,27.375,413.125,11,170,38,1,1.035710772
1,0.2890625,71.046875,828.2421875,20,145,29,0.985507246,1.055444677
1,0,8.625,120.125,5,205,33,1.014285714,1.166056166
1,0.25,48,712,7,135,28,0.971428571,0.974758681
1,0,36,900,3,155,26,0.972972973,1.108108108
1,0.25,47.046875,729.65625,15,135,32,0.985074627,0.970063675
1,0.3125,19.03125,383.46875,10,185,29,1.02739726,0.818805908
1,2,37,268,1,250,31,0.986842105,1.083293211
1,0,37.375,727.25,12,185,32,1,1.015514407
1,0.256347656,58.81896973,826.7131348,34,265,38,0.974358974,1.121254188
1,0.5,49.5,900,9,145,24,0.972222222,1.096219399
1,1,10,45,1,256,27,0.987179487,1
1,0.570402145,67.16823459,806.3778987,58,145,34,0.946666667,1.091093667
1,0,85,900,3,185,26,0.946666667,1.028954295
1,0.5,54.75,900,9,145,32,0.972972973,1.038324421
1,0,44,900,3,135,30,0.970588235,1.116163704
1,0,79,900,3,135,26,1,1.23565051
1,0.020874023,17.55389404,489.1483765,45,170,36,0.986666667,1.54474495
1,0,13.25,835.5,9,205,34,0.949367089,1.901612236
1,1,60.75,818,8,145,24,1,1.048598508
1,0.28125,32.6640625,982.78125,21,135,36,0.971830986,1.175630669
1,0,89,900,3,135,25,0.944444444,1.104536489
1,0.033203125,29.19238281,782.7792969,38,135,38,0.985507246,1.086683981
1,0.5,14,515,4,250,33,0.972972973,1.078942636
1,0,76,900,6,115,24,1,1.071428571
1,0,36.625,541.5,10,140,29,0.985294118,0.973546722
1,0,4,380,2,170,24,0.931506849,1.449275362
1,0,27.625,552.5,12,135,29,1,1.166401575
1,1.1015625,54.8046875,1165.601563,26,185,31,0.95,1.028303536
1,0.1875,79.875,900,15,125,27,0.927536232,1.025856505
1,0.5,90.5,820,8,145,27,0.944444444,1.112369966
1,0.000123531,25.10193165,764.289835,81,170,38,0.972222222,1.081757918
1,0.5,64.5,900,6,155,28,0.943661972,1.119301119
1,0.359375,72.453125,953.84375,15,205,30,0.987012987,0.893791892
